index,name,seat,p_runs,p_empirical,p_value,entropy_bits,markov_p,cramers_v,riichi_turn,tsumo_counts,naki_counts,total_draw_counts,riichi_turn_by_tsumo,tsumogiri_count,points_gained
東1-0,Aさん,東,0.022075373478294972,0.7526,0.7756608576091244,0.4503258334775646,0.2546235409743339,0.14909939963502827,12,16,,15,12,7,0
東1-0,Bさん,南,0.006196663652666353,0.6588,0.7756608576091244,0.4918295834054489,0.04265399889828348,0.1490993996350283,,14,,13,,5,0
東1-0,Cさん,西,0.10101475373250303,0.5742,0.0348599117486495,0.6666666666666666,0.4207776542437732,0.15612450814640455,10,14,,13,10,7,9700
東1-0,Dさん,北,0.10101475373250303,0.3729,0.6246387361645669,0.6251629167387822,0.1748482590055459,0.16284683944242703,,13,2,15,,9,-7700
東2-0,Bさん,東,0.04488837120124027,0.9888,0.40861709408627567,0.3333333333333333,0.6892407253485704,0.12568984745886708,,12,,11,,3,-3900
東2-0,Cさん,南,0.10101475373250303,0.8296,0.5979436357562704,0.4918295834054489,0.1331990281122007,0.14172649681373986,8,12,,11,8,5,8900
東2-0,Dさん,西,0.04488837120124027,0.752,0.7999719580876969,0.4918295834054489,0.09339183858299825,0.14909939963502827,,11,,10,,3,-2000
東2-0,Aさん,北,0.017718725756770325,0.4485,0.6246387361645669,0.6251629167387822,0.31764569941702436,0.162846839442427,,11,,10,,2,-2000
東3-0,Cさん,東,0.5873235968543763,0.9875,0.16427784018934952,0.39999999999999997,0.2310743497902077,0.12568984745886708,,11,,10,,5,-7700
東3-0,Dさん,南,0.5873235968543763,0.7455,0.4454778171431152,0.6,0.1844843236444213,0.14909939963502827,,10,,9,,3,0
東3-0,Aさん,西,0.04488837120124027,0.5761,0.7839697147347126,0.6,0.5749559043215831,0.15612450814640455,,10,,9,,5,0
東3-0,Bさん,北,0.10101475373250303,0.8359,0.7999719580876969,0.4666666666666666,0.5118152477193083,0.14172649681373986,,10,,9,,3,7700
東4-0,Dさん,東,0.006196663652666353,0.2155,0.39101270305143604,0.7169925001442312,0.011852994377976893,0.16930246362300364,,10,1,11,,4,-3900
東4-0,Aさん,南,0.10813958353394319,0.159,0.04786902084796078,0.6754887502163469,0.35331617011125466,0.17552081147615894,,9,,8,,5,0
東4-0,Bさん,西,0.006196663652666353,0.2801,0.3542623305075728,0.6251629167387822,0.18322098881655094,0.16930246362300364,8,8,,7,8,0,0
東4-0,Cさん,北,0.006659896078745761,0.9412,1.0,0.4666666666666666,0.09660061607920489,0.13394838120210392,,7,2,9,,4,4900
南1-0,Aさん,東,0.0005230230780571317,0.5617,1.0,0.6251629167387822,0.0921093048546214,0.15612450814640455,,14,,13,,8,-500
南1-0,Bさん,南,0.04488837120124027,0.9428,1.0,0.42516291673878226,0.3121453832219495,0.13394838120210392,,14,1,15,,8,2100
南1-0,Cさん,西,0.5873235968543763,0.1028,1.0,0.6251629167387822,0.06988589395803399,0.1815262689906896,11,14,,13,11,7,-300
南1-0,Dさん,北,0.0005230230780571317,0.0518,0.5814413222985055,0.508170416594551,0.018739407523510884,0.1873393108936591,,12,1,13,,3,-300
南2-0,Bさん,東,0.04488837120124027,0.3011,0.5979436357562704,0.4918295834054489,0.04543498162654704,0.16930246362300364,,6,,5,,3,0
南2-0,Cさん,南,0.04488837120124027,0.942,0.42291909908300523,0.4666666666666666,0.07695269322358758,0.13394838120210392,6,6,,5,6,2,6200
南2-0,Dさん,西,0.8502717756756941,0.4482,0.4517749962403542,0.583659166810898,0.7583141446496109,0.162846839442427,,6,,5,,0,-5200
南2-0,Aさん,北,0.10101475373250303,0.8378,0.7839697147347126,0.3333333333333333,0.15066618625332853,0.14172649681373986,,5,,4,,1,0
南3-0,Cさん,東,0.017718725756770325,0.837,0.42291909908300523,0.4666666666666666,0.09849105519942318,0.14172649681373986,,10,,9,,2,-8000
南3-0,Dさん,南,0.10101475373250303,0.3799,1.0,0.5584962500721156,0.0427004392990608,0.16284683944242703,8,9,,8,8,1,17000
南3-0,Aさん,西,0.3636333008538547,0.2186,0.04438789590458017,0.7169925001442312,0.3446786865513053,0.16930246362300364,,7,2,9,,5,-4000
南3-0,Bさん,北,0.04488837120124027,0.986,0.7899705559920815,0.39999999999999997,0.5060703883536205,0.12568984745886708,,9,1,10,,4,-4000
南4-0,Dさん,東,0.006196663652666353,0.3836,0.7644439004895809,0.6,0.003998500699319878,0.16284683944242703,7,15,,14,7,7,25000
南4-0,Aさん,南,0.0020539789769586383,0.002,0.4517749962403542,0.9421554168830135,0.14341265283645863,0.20898072087117156,,14,,13,,4,-8000
南4-0,Bさん,西,0.24495065169810215,0.6076,0.8024414400866142,0.5584962500721157,0.2550768494907518,0.15612450814640452,,13,,12,,2,-8000
南4-0,Cさん,北,0.3636333008538547,0.4895,0.7999719580876969,0.6251629167387822,0.5841335829785481,0.15612450814640455,,13,,12,,4,-8000
